# SST camera window transmission for vertical incidence used for LST simulation
# Averaged over position across the window
#
#W.L.[nm]	Transmissivity [%]
259	0.005606
260	0.001880
261	-0.002505
262	-0.005487
263	-0.005247
264	-0.001879
265	0.002641
266	0.006615
267	0.009121
268	0.010020
269	0.009766
270	0.008513
271	0.005591
272	0.000736
273	-0.004018
274	-0.005549
275	-0.002466
276	0.003052
277	0.005893
278	0.002774
279	-0.003608
280	-0.007429
281	-0.006521
282	-0.003091
283	-0.000093
284	0.001836
285	0.005073
286	0.012089
287	0.022728
288	0.035077
289	0.048061
290	0.061198
291	0.075149
292	0.090842
293	0.109025
294	0.130637
295	0.158256
296	0.193335
297	0.234804
298	0.280044
299	0.325523
300	0.370353
301	0.413004
302	0.451733
303	0.485361
304	0.514282
305	0.540786
306	0.566446
307	0.592190
308	0.617642
309	0.641803
310	0.662783
311	0.679419
312	0.690818
313	0.696616
314	0.697550
315	0.694621
316	0.689497
317	0.684890
318	0.685113
319	0.693102
320	0.708400
321	0.727766
322	0.748224
323	0.766719
324	0.782315
325	0.795741
326	0.807945
327	0.818824
328	0.826560
329	0.829156
330	0.825378
331	0.815698
332	0.802036
333	0.786097
334	0.770299
335	0.756765
336	0.748586
337	0.747753
338	0.754809
339	0.767742
340	0.783129
341	0.796437
342	0.804765
343	0.807475
344	0.807014
345	0.806518
346	0.808383
347	0.813360
348	0.819944
349	0.824541
350	0.823045
351	0.813028
352	0.794643
353	0.770482
354	0.744083
355	0.717942
356	0.694838
357	0.677665
358	0.668923
359	0.669564
360	0.679134
361	0.695688
362	0.716700
363	0.739515
364	0.761095
365	0.779953
366	0.795625
367	0.807753
368	0.814939
369	0.816734
370	0.814702
371	0.811811
372	0.809998
373	0.809294
374	0.808795
375	0.807424
376	0.803993
377	0.798301
378	0.792300
379	0.788882
380	0.790267
381	0.796638
382	0.806999
383	0.820104
384	0.834907
385	0.850446
386	0.865734
387	0.879884
388	0.892085
389	0.901822
390	0.908837
391	0.913229
392	0.916080
393	0.918833
394	0.922341
395	0.926351
396	0.929181
397	0.928876
398	0.925159
399	0.919654
400	0.914340
401	0.910270
402	0.907630
403	0.906518
404	0.907093
405	0.908891
406	0.910619
407	0.910982
408	0.910027
409	0.909319
410	0.909859
411	0.910856
412	0.911070
413	0.910406
414	0.909948
415	0.910556
416	0.911833
417	0.913004
418	0.913644
419	0.913473
420	0.912745
421	0.912656
422	0.914699
423	0.918869
424	0.923346
425	0.926152
426	0.926795
427	0.926437
428	0.926677
429	0.927978
430	0.929278
431	0.929368
432	0.928093
433	0.926381
434	0.925352
435	0.925401
436	0.926339
437	0.927808
438	0.929646
439	0.931780
440	0.933589
441	0.934357
442	0.934537
443	0.934763
444	0.934474
445	0.932489
446	0.927948
447	0.921262
448	0.913684
449	0.906207
450	0.899522
451	0.893877
452	0.888926
453	0.883759
454	0.878041
455	0.871474
456	0.863897
457	0.855183
458	0.847375
459	0.843555
460	0.843912
461	0.846571
462	0.850309
463	0.854586
464	0.858927
465	0.863017
466	0.866825
467	0.870784
468	0.874894
469	0.878185
470	0.880249
471	0.882187
472	0.885235
473	0.889307
474	0.893653
475	0.897741
476	0.900920
477	0.902229
478	0.901179
479	0.898346
480	0.894826
481	0.892138
482	0.891943
483	0.895089
484	0.900785
485	0.906226
486	0.908561
487	0.906714
488	0.901606
489	0.895818
490	0.892233
491	0.891874
492	0.893735
493	0.896273
494	0.898683
495	0.901069
496	0.903540
